fips,pollutant,year,pred_wght,state_abbr,lat,lon
6055,co,2015,0.265591065,CA,38.32907724,-122.3217333
6057,co,2015,0.257628538,CA,39.2195248,-120.9162588
6059,co,2015,0.341132424,CA,33.73395313,-117.8629745
6061,co,2015,0.233421729,CA,38.84451128,-121.1821312
6063,co,2015,0.259423185,CA,39.98385528,-120.8264813
6065,co,2015,0.302774818,CA,33.80043983,-117.0665188
6067,co,2015,0.295230315,CA,38.56895043,-121.3808162
6069,co,2015,0.227670998,CA,36.84340324,-121.4038781
6071,co,2015,0.338135637,CA,34.19024812,-117.3572006
6073,co,2015,0.311037387,CA,32.88326085,-117.1131331
6075,co,2015,0.372266085,CA,37.75959819,-122.4383223
6077,co,2015,0.273454573,CA,37.93180535,-121.2980919
6079,co,2015,0.238134243,CA,35.34239055,-120.6677995
6081,co,2015,0.329665554,CA,37.56395028,-122.3410959
6083,co,2015,0.261670259,CA,34.6392614,-120.0934604
6085,co,2015,0.316860075,CA,37.31510544,-121.910519
6087,co,2015,0.28386678,CA,36.98517224,-121.9367903
6089,co,2015,0.268792977,CA,40.58027013,-122.2997892
6091,co,2015,0.261186291,CA,39.61258451,-120.4140009
6093,co,2015,0.231591558,CA,41.57620435,-122.4899306
6095,co,2015,0.254979713,CA,38.23558311,-122.0691582
6097,co,2015,0.272166535,CA,38.41408042,-122.7206585
6099,co,2015,0.275511526,CA,37.61914815,-120.9555864
6101,co,2015,0.244714303,CA,39.13549174,-121.6442888
6103,co,2015,0.215265014,CA,40.11518829,-122.2187807
6105,co,2015,0.248531252,CA,40.68126961,-123.0721861
6107,co,2015,0.234105349,CA,36.25122764,-119.2317127
6109,co,2015,0.249346467,CA,37.97153262,-120.328505
6111,co,2015,0.29660323,CA,34.2419904,-119.0250133
6113,co,2015,0.261009387,CA,38.59891285,-121.7211525
6115,co,2015,0.225129343,CA,39.13882934,-121.506525
8001,co,2015,0.280826765,CO,39.8742966,-104.9274703
8003,co,2015,0.289203108,CO,37.48306956,-105.8772157
8005,co,2015,0.230714399,CO,39.64752884,-104.8459556
8007,co,2015,0.261620517,CO,37.24008568,-107.0849619
8009,co,2015,0.191531807,CO,37.36822212,-102.5270969
8011,co,2015,0.203625997,CO,38.07237914,-103.1631679
8013,co,2015,0.256434804,CO,40.06329933,-105.1839166
8014,co,2015,0.257523671,CO,39.9368926,-105.0554309
8015,co,2015,0.283769629,CO,38.67649604,-106.0827694
8017,co,2015,0.176056957,CO,38.81679276,-102.4577751
8019,co,2015,0.281203519,CO,39.71295925,-105.5296945
8021,co,2015,0.255877266,CO,37.19564979,-105.9890418
8023,co,2015,0.268627492,CO,37.28177894,-105.4484549
8025,co,2015,0.204482563,CO,38.18855061,-103.8572919
8027,co,2015,0.271786057,CO,38.13421781,-105.3815544
8029,co,2015,0.244463826,CO,38.79856902,-107.9104675
8031,co,2015,0.302014402,CO,39.72143074,-104.9550507
8033,co,2015,0.234554317,CO,37.74081487,-108.7575862
8035,co,2015,0.172451402,CO,39.48527008,-104.8797359
8037,co,2015,0.263717953,CO,39.59945328,-106.717626
8039,co,2015,0.155995621,CO,39.38286611,-104.5193017
8041,co,2015,0.22106907,CO,38.87366896,-104.7584845
8043,co,2015,0.230620683,CO,38.42605667,-105.2065377
8045,co,2015,0.264403734,CO,39.50756334,-107.5394117
8047,co,2015,0.270016042,CO,39.85702066,-105.4801608
8049,co,2015,0.278105419,CO,40.05038806,-105.9754488
8051,co,2015,0.272165617,CO,38.6578881,-106.9447952
8053,co,2015,0.28033526,CO,37.99687023,-107.2965955
8055,co,2015,0.206184129,CO,37.61631472,-104.8842031
8057,co,2015,0.270719329,CO,40.69285022,-106.291302
8059,co,2015,0.268931774,CO,39.72052385,-105.1287937
8061,co,2015,0.187814821,CO,38.47066788,-102.6805601
8063,co,2015,0.184170995,CO,39.30976126,-102.4357898
8065,co,2015,0.287216826,CO,39.24586855,-106.3080443
8067,co,2015,0.269040947,CO,37.2651977,-107.806193
8069,co,2015,0.247338562,CO,40.50454645,-105.0991837
8071,co,2015,0.239706927,CO,37.19660286,-104.5030833
8073,co,2015,0.142420817,CO,39.17324449,-103.6136444
8075,co,2015,0.227297637,CO,40.63940103,-103.187605
8077,co,2015,0.258886705,CO,39.09285228,-108.5437618
8079,co,2015,0.2763154,CO,37.79863034,-106.9355801
8081,co,2015,0.28614984,CO,40.5152398,-107.6257156
8083,co,2015,0.274669493,CO,37.37081727,-108.5570817
8085,co,2015,0.247764009,CO,38.47914073,-107.9344698
8087,co,2015,0.213030459,CO,40.25602132,-103.7815181
8089,co,2015,0.210699458,CO,38.02409477,-103.6575194
8091,co,2015,0.267028191,CO,38.13982854,-107.7463237
8093,co,2015,0.277687416,CO,39.31171646,-105.6228917
8095,co,2015,0.180989499,CO,40.59951621,-102.3873566
